Data_de_Nascimento;Sexo;Renda_Familiar;Recebe_Auxilio;Q_Reprovacoes
02/10/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;5
03/11/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
31/01/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;10
19/12/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
03/12/1994;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
22/10/1989;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/09/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
21/11/1990;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;15
18/12/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
16/01/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
27/11/1991;F;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;17
17/02/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;14
27/01/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);5
30/04/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
09/05/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
26/07/1998;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;
14/10/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
25/04/1993;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
05/05/1999;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
09/02/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;21
06/05/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);1
26/08/1995;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
08/09/1990;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;38
19/09/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;13
28/08/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
04/12/1987;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
27/06/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
06/09/2000;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
21/01/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
19/05/1989;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
06/03/1998;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
30/04/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
01/10/1982;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
27/12/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;2
05/09/1983;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
07/02/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
25/05/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;2
10/05/1993;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
05/02/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;5
07/08/1991;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;2
10/03/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
01/01/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;27
22/07/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;10
14/06/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;9
23/05/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
20/10/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
28/02/1991;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;15
10/08/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
01/10/1991;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;9
10/05/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
16/06/1989;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
15/11/1987;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;6
28/09/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
20/01/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);2
26/09/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
24/02/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/07/1999;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
24/05/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
08/10/1992;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;8
12/03/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
24/08/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
07/12/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
22/06/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA APOIO AO ESPORTE;
23/08/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
04/04/1990;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
16/08/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
21/06/1999;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
22/03/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
10/02/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;8
14/10/1979;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;20
27/03/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
01/05/1982;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
12/01/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
25/10/1979;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;17
09/07/1996;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;1
08/01/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
02/04/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
30/12/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
02/06/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;10
03/02/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
17/01/1990;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
20/01/1997;F;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;
12/07/1987;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
23/11/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
06/06/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
30/04/1976;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;20
05/02/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;15
23/05/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;14
25/02/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;3
29/03/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
12/02/1991;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;6
19/04/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
17/10/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
08/09/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;10
08/12/1984;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;1
18/10/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
29/03/1995;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;21
12/06/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
21/06/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
02/03/1962;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;12
15/05/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
19/08/1990;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
08/04/1988;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
04/01/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
20/07/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
27/01/1986;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
24/01/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
18/08/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
29/12/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);BOLSA PERMANÊNCIA ACADÊMICA;
24/03/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
09/07/1997;F;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;1
08/03/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;4
08/07/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);BOLSA PERMANÊNCIA ACADÊMICA;
04/07/1994;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
15/02/1989;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;6
17/08/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
16/04/1991;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;22
15/06/1985;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
16/05/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;4
11/03/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;2
22/11/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);BOLSA PERMANÊNCIA ACADÊMICA;
03/11/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
29/09/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;1
20/06/1993;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
02/06/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;17
11/10/1983;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;17
09/05/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
06/03/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;9
26/01/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
17/02/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;14
17/06/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);7
07/02/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
26/06/1985;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
25/08/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
29/10/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
23/08/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;6
17/05/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
06/10/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
09/05/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
07/11/1990;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;5
22/01/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
23/04/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;9
08/12/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
17/09/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
03/08/1993;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
24/06/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;1
05/07/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
08/09/1987;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
04/06/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
29/11/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;11
22/02/1995;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;13
12/06/1995;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;9
28/05/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);1
21/06/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
30/06/1990;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;16
29/11/1989;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/06/1991;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;6
29/06/1996;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;10
23/05/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
21/09/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);BOLSA APOIO AO ESPORTE;2
10/01/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
25/09/1986;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;14
29/10/1999;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
31/05/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;14
16/06/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
06/12/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;3
08/02/1982;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
14/04/1986;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
10/03/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
01/06/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;8
14/04/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;15
30/03/1991;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
14/09/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;18
22/05/2000;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
07/10/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
07/05/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;
30/11/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
22/09/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
10/06/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
14/09/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
13/05/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/01/1982;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;3
02/02/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;8
15/05/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
31/07/1991;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;6
28/05/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;7
05/08/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
04/04/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
27/06/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
11/05/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
10/06/1997;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;12
16/04/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;13
26/03/1996;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;7
19/05/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;10
03/10/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;8
10/05/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
23/10/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
06/11/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;4
13/06/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
27/02/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;5
06/11/1983;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
27/05/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;17
01/03/1993;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;1
06/04/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;7
04/11/1996;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;
05/06/1999;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
12/04/1988;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;3
29/04/1991;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;21
06/04/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;21
17/02/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
08/06/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
24/04/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
27/08/1993;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;8
23/04/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;20
02/06/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;11
21/04/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
09/03/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
05/02/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
10/06/1991;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
15/09/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;4
12/11/1993;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
16/12/1986;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
25/03/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
06/05/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;16
28/03/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;12
16/05/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;3
23/11/1997;M;Renda familiar acima de 20 Salários Mínimos - (13.560,00 ou mais);;1
08/02/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
03/06/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
12/10/1993;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);10
20/09/1986;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;2
19/06/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
20/08/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
16/09/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
16/09/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;3
27/05/1998;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
30/12/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;
12/05/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
30/11/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
30/03/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;15
01/04/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
17/09/1992;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;18
17/02/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
12/07/1995;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;9
12/04/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
26/10/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
12/05/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;1
26/09/1975;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
19/07/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;26
24/11/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;7
20/04/1983;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;3
22/09/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
15/05/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
21/04/1979;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
07/03/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
15/05/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
03/11/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;
26/09/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
21/11/1998;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;8
22/07/1999;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
31/07/1993;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;6
20/01/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
30/11/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
15/05/1992;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
31/07/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;
28/05/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO TRANSPORTE;9
25/11/1988;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/12/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
24/07/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;1
21/03/1997;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
07/04/1987;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
13/12/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
25/06/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;10
14/11/1990;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
27/04/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
11/03/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;2
11/10/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
23/07/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
28/01/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;7
25/12/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
07/07/1976;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;35
